Sheep ID,Group,IL1B_EDTA_Base,IL1B_EDTA_Tmin1,IL1B_EDTA_T0,IL1B_EDTA_T1,IL1B_EDTA_T2,IL1B_EDTA_T3,IL1B_EDTA_T4,IL1B_EDTA_T6,IL1B_EDTA_T14,IL1B_EDTA_T23,IL1B_EDTA_T24,IL1B_BAL_Tmin1,IL1B_BAL_T0,IL1B_BAL_T2,IL1B_BAL_T3,IL1B_BAL_T4,IL1B_BAL_T6,IL1B_BAL_T14,IL1B_BAL_T23,IL1B_BAL_T24,IL6_EDTA_Base,IL6_EDTA_Tmin1,IL6_EDTA_T0,IL6_EDTA_T1,IL6_EDTA_T2,IL6_EDTA_T3,IL6_EDTA_T4,IL6_EDTA_T6,IL6_EDTA_T14,IL6_EDTA_T23,IL6_EDTA_T24,IL6_BAL_Tmin1,IL6_BAL_T0,IL6_BAL_T2,IL6_BAL_T3,IL6_BAL_T4,IL6_BAL_T6,IL6_BAL_T14,IL6_BAL_T23,IL6_BAL_T24,IL10_EDTA_Base,IL10_EDTA_Tmin1,IL10_EDTA_T0,IL10_EDTA_T1,IL10_EDTA_T2,IL10_EDTA_T3,IL10_EDTA_T4,IL10_EDTA_T6,IL10_EDTA_T14,IL10_EDTA_T23,IL10_EDTA_T24,IL10_BAL_Tmin1,IL10_BAL_T0,IL10_BAL_T2,IL10_BAL_T3,IL10_BAL_T4,IL10_BAL_T6,IL10_BAL_T14,IL10_BAL_T23,IL10_BAL_T24,IL8_EDTA_Base,IL8_EDTA_Tmin1,IL8_EDTA_T0,IL8_EDTA_T1,IL8_EDTA_T2,IL8_EDTA_T3,IL8_EDTA_T4,IL8_EDTA_T6,IL8_EDTA_T14,IL8_EDTA_T23,IL8_EDTA_T24,IL8_BAL_Tmin1,IL8_BAL_T0,IL8_BAL_T2,IL8_BAL_T3,IL8_BAL_T4,IL8_BAL_T6,IL8_BAL_T14,IL8_BAL_T23,IL8_BAL_T24
23,Control,420.99,119.60,319.52,69.80,110.48,82.57,95.09,98.19,122.61,215.97,116.57,81.64,74.42,<46.88,59.39,188.67,<46.88,<46.88,61.96,3187.23,<312.5,2128.56,4397.49,14403.48,19725.67,27941.30,43064.27,32649.44,47556.83,72178.39,83838.08,<312.5,<312.5,<312.5,1263.56,2980.98,535.73,2134.25,8896.21,3638.94,1406.98,14452.16,9059.46,11506.69,13476.29,11026.56,8477.78,2100.02,2674.30,15279.03,13052.35,<125,474.28,282.52,1282.79,2047.01,979.28,1585.30,1501.25,1260.04,1403.30,398.65,1065.07,232.65,368.27,275.21,316.97,327.31,81.74,719.91,388.55,<31.25,<31.25,615.03,3156.69,5201.25,1946.02,6148.13,21998.68,7758.47
24,Control,308.46,116.57,706.78,338.83,341.58,415.53,516.22,431.90,371.79,371.79,308.46,131.23,1471.16,<46.88,268.68,73.80,60.05,369.37,394.90,311.74,<312.5,5729.13,10990.82,40870.53,53718.47,59372.76,109908.16,131274.34,143346.61,191502.34,193777.98,373.07,438.20,312.50,456.33,419.87,624.84,7501.57,4548.73,5470.63,2719.51,8477.78,7486.62,9773.32,11808.67,13336.42,14822.87,4367.75,2443.67,8676.78,9373.07,455.94,209.27,<125,164.97,<125,268.51,1837.37,971.22,918.66,1028.19,388.55,2355.95,1129.42,1138.60,1385.12,1720.73,1439.65,247.86,1239.29,1028.19,<31.25,798.38,1046.67,1314.76,2194.81,1894.70,24712.12,24433.46,22093.29
25,Control,353.62,543.73,1504.86,634.59,648.66,674.17,584.60,195.97,291.81,355.33,286.25,<46.88,<46.88,<46.88,<46.88,187.16,<46.88,874.80,323.49,89.24,<312.5,3589.85,3946.57,18165.95,22223.05,25982.88,40694.94,27319.08,35372.09,29531.61,36937.96,<312.5,<312.5,1860.21,451.82,2995.26,825.87,963.80,2422.08,312.50,2056.82,11657.00,12705.64,17338.22,11443.30,14565.94,10506.56,1768.63,1260.36,2907.20,2907.20,<125,<125,643.83,277.78,1260.04,680.78,618.66,945.10,164.97,3531.21,1214.13,1956.25,376.11,664.54,2019.72,1956.25,653.23,194.54,1184.42,954.18,<31.25,<31.25,6628.94,3602.99,8195.13,2939.55,28784.86,10211.37,3193.52
26,Control,198.84,280.68,327.83,80.40,49.13,49.13,<46.88,62.87,56.46,312.21,413.37,<46.88,<46.88,<46.88,167.15,<46.88,57.18,<46.88,181.23,576.90,<312.5,4379.61,8766.80,34612.88,41530.43,42187.36,77511.31,50052.48,78025.69,143170.04,202647.54,<312.5,312.50,312.50,548.71,329.57,2882.57,312.50,3284.36,14768.02,1974.10,12835.25,8262.95,10648.95,13467.91,13973.24,14228.96,5403.02,11871.99,20792.42,23277.09,<125,<125,<125,153.02,304.77,1273.94,249.51,631.30,4655.60,662.79,935.61,1899.14,3805.55,2528.31,1494.65,941.16,2085.76,1227.50,4695.65,5034.28,<31.25,1073.69,1325.73,1368.82,1610.32,3006.47,5475.27,22197.00,24058.81
27,Control,<46.88,<46.88,161.98,NA,141.47,96.52,52.57,111.68,205.28,333.49,339.06,<46.88,<46.88,639.76,533.20,515.50,379.00,1954.85,1401.40,1088.78,<312.5,3349.24,5849.90,NA,20465.98,19686.98,27735.43,20208.18,162563.51,159227.84,277795.89,<312.5,<312.5,312.50,460.83,456.33,903.07,3301.03,3151.27,4264.61,1217.78,7316.36,7355.86,NA,9979.37,14336.27,12497.19,41652.12,2650.98,15451.72,17791.07,<125,<125,<125,219.65,387.79,775.21,950.35,976.41,1007.28,1329.94,557.43,209.22,NA,191.78,134.29,88.57,221.30,253.05,934.54,908.23,<31.25,<31.25,4520.11,5344.65,5760.58,8433.52,28343.09,30065.14,25741.67
28,Intervention,<46.88,<46.88,75.22,47.68,61.47,<46.88,<46.88,<46.88,<46.88,249.06,544.66,<46.88,131.99,284.45,<46.88,<46.88,<46.88,<46.88,173.90,710.95,<312.5,<312.5,<312.5,824.47,1063.90,1572.82,6231.59,11622.65,52495.80,53264.01,156251.50,<312.5,961.11,1458.01,324.61,808.00,<312.5,<312.5,1217.73,9615.45,1391.75,23063.42,16190.13,15189.68,24247.31,19234.11,15200.59,11345.05,13124.50,28662.00,35120.05,<125,1528.59,947.54,<125,<125,<125,<125,1183.50,2830.71,9084.20,3875.61,4684.98,556.91,906.79,522.73,303.02,253.53,1151.04,2573.85,6088.61,1399.29,1569.54,1858.77,279.27,1602.73,834.52,4707.50,13840.67,29051.18
29,Intervention,<46.88,<46.88,330.56,50.19,52.70,<46.88,<46.88,<46.88,<46.88,238.65,147.56,<46.88,467.48,82.78,<46.88,<46.88,<46.88,<46.88,82.78,526.32,437.27,861.29,1205.67,5533.50,5356.25,6056.61,2754.74,3109.07,6667.26,7767.18,5499.63,1010.23,1743.78,1145.36,1019.59,2415.45,961.11,2613.84,2089.03,2801.48,1231.91,17534.54,11603.26,12239.80,13593.98,18240.65,15810.15,9446.36,6741.44,19629.41,21894.47,966.29,1563.55,1990.03,847.65,3248.25,868.54,2713.08,1664.08,2733.03,13045.70,844.14,771.28,739.90,555.32,662.58,449.32,385.73,317.92,3527.88,3927.76,1149.38,930.78,3329.45,789.05,4402.46,3203.82,9129.43,5521.23,30963.39
30,Intervention,568.64,449.56,602.70,423.31,506.79,438.08,465.94,252.51,162.94,6990.65,21018.42,80.14,316.01,131.38,63.50,127.42,123.44,216.54,382.10,1298.23,731.84,1766.91,2391.09,4635.57,5363.23,6040.04,7879.90,14257.55,35953.26,278265.92,675153.39,<312.5,<312.5,312.50,312.50,1676.44,801.99,1116.76,5603.42,19744.93,3122.89,26965.50,26424.79,25977.71,25903.67,25109.92,19750.50,14247.20,10175.83,61330.29,66063.78,<125,467.20,507.88,204.73,1069.74,870.48,1099.01,2194.53,6464.66,1982.55,1863.76,1774.21,881.58,814.49,607.74,432.48,336.84,570.42,30123.19,53168.05,281.82,179.88,1183.50,298.22,3151.77,1908.70,5919.49,8802.39,21037.61
31,Intervention,<46.88,<46.88,<46.88,<46.88,<46.88,<46.88,<46.88,<46.88,<46.88,<46.88,46.88,229.34,681.55,1503.68,223.55,553.76,279.01,413.64,642.66,453.54,370.96,1221.13,1541.35,3715.21,4899.55,7117.56,14873.23,16336.63,47550.56,77306.53,97624.28,312.50,<312.5,312.50,<312.5,312.50,312.50,312.50,312.50,500.68,1316.67,11060.71,10014.60,10921.54,11028.09,12278.69,11314.39,6703.51,6254.64,16417.83,15028.49,556.92,310.69,659.10,142.41,631.92,446.31,435.71,772.01,650.09,8169.06,1498.51,459.93,148.75,159.68,203.20,391.18,61.67,101.40,369.39,365.38,55.33,76.26,1575.61,352.69,1830.52,1541.85,3257.96,4610.34,3151.13
32,Intervention,<46.88,<46.88,99.57,<46.88,<46.88,<46.88,<46.88,<46.88,141.47,2631.92,NA,91.75,127.42,550.93,123.34,227.04,305.47,676.90,5715.73,NA,<312.5,5013.94,7025.87,11486.16,15752.86,14719.64,64814.81,71569.07,282825.46,657167.40,NA,312.50,312.50,312.50,1028.80,1182.48,971.27,3052.22,15261.09,NA,1211.67,12538.77,10632.26,11651.48,13825.86,13867.45,12569.95,11123.74,8741.97,22606.03,NA,142.41,204.73,507.88,<125,734.45,1242.78,1366.88,2490.40,NA,2199.31,1044.43,518.28,319.64,220.42,163.44,130.95,120.01,395.08,9104.82,NA,46.95,122.08,1975.68,1674.75,5035.96,8465.68,18987.23,18639.40,NA
33,Intervention,202.21,215.86,324.23,234.38,153.18,185.98,198.47,218.34,192.23,209.66,160.79,<46.88,90.31,128.75,60.37,83.08,69.66,107.17,503.26,703.03,370.28,1484.53,4552.20,9222.75,13311.22,15603.66,25211.72,35278.20,91044.03,158676.06,318025.98,<312.5,<312.5,368.75,312.50,3185.75,2232.17,2594.72,1868.60,3506.98,1011.63,9192.31,10242.95,14108.34,21493.39,13727.06,13254.56,2259.34,1605.93,9840.41,10987.70,158.90,233.02,1500.12,273.00,1343.01,1544.67,1594.94,720.80,1091.72,3792.25,1199.60,1193.49,612.06,751.27,934.72,1006.22,490.60,421.97,1956.35,1373.31,82.50,347.65,3302.02,837.10,2391.95,2888.50,5885.25,8995.51,16595.41
34,Intervention,<46.88,50.19,426.66,182.21,146.22,110.15,116.38,96.44,<46.88,<46.88,46.88,96.01,170.86,180.69,61.94,<46.88,318.16,285.62,825.55,566.92,<312.5,528.88,3285.61,11172.21,11132.30,14073.63,25950.11,28440.34,45473.44,79269.10,126863.81,<312.5,<312.5,312.50,348.47,312.50,1475.50,312.50,312.50,1490.19,961.79,9774.09,6765.62,7335.68,9626.16,11167.41,12360.37,11483.30,8578.88,13893.72,14730.57,298.35,204.73,487.72,676.96,158.90,703.40,189.97,738.03,189.97,3936.77,2477.08,2383.72,1451.03,1197.28,730.38,547.90,632.10,863.74,1916.49,1052.62,782.54,840.16,493.50,915.85,1006.04,5841.55,5965.18,7425.28,16815.50
35,Control,1674.10,1377.18,1830.33,1335.55,794.59,739.64,717.73,701.32,627.67,1344.45,2082.09,127.70,<46.88,<46.88,<46.88,203.00,400.47,1319.50,12785.54,27765.14,609.31,6889.40,10202.18,35645.97,59754.64,79718.51,104269.21,46451.97,116620.01,499643.48,492933.64,<312.5,<312.5,<312.5,<312.5,1010.23,1114.13,2643.90,13885.34,14877.02,1392.44,26681.17,16291.75,17551.97,15216.81,14614.36,13177.36,4392.49,3099.03,14902.38,14354.04,781.68,<125,<125,657.32,1563.55,1685.61,2504.89,1179.99,1042.79,5580.32,4590.60,6101.10,4451.84,2648.63,2465.46,2392.42,2337.72,418.45,4481.50,6940.31,1011.58,1116.31,1526.03,2456.92,3910.46,2464.50,34125.76,44889.18,60089.21
36,Control,<46.88,<46.88,329.03,110.73,114.63,53.28,87.06,<46.88,49.13,61.51,64.23,NA,417.60,357.03,<46.88,<46.88,545.42,1084.36,69.09,876.24,<312.5,5180.50,6229.51,26581.09,39286.53,44074.38,72801.55,51981.85,84205.35,114560.86,115893.93,NA,1196.79,1463.07,1576.65,2704.14,1938.89,2011.90,<312.5,1837.13,846.67,8021.53,6911.63,6956.74,10634.50,12925.63,11483.30,5699.07,2125.45,9365.30,11418.71,NA,1002.74,200.07,600.48,1183.50,1575.03,2371.31,<125,1758.92,3535.49,2670.05,1348.99,4472.73,2139.93,728.66,472.28,888.37,247.86,1162.89,582.34,NA,1647.19,2004.34,1480.22,3271.96,6826.04,34528.21,8358.95,27853.98